,City,Country,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
104,xichang,CN,0,12/10/2017,100,27.9,102.26,30.07,1.36
105,lorengau,PG,20,12/10/2017,100,-2.02,147.27,81.82,7.85
106,faanui,PF,80,12/10/2017,100,-16.48,-151.75,81.68,11.99
107,vikyrovice,CZ,92,12/10/2017,89,49.98,17.01,32.77,13.22
108,grindavik,IS,0,12/10/2017,68,63.84,-22.43,24.8,6.93
109,zhangye,CN,0,12/10/2017,62,38.93,100.45,5.45,3.15
110,goure,NE,0,12/10/2017,39,13.98,10.27,67.15,11.99
111,teluk nibung,ID,48,12/10/2017,100,3,99.82,73.99,3.38
112,fare,PF,92,12/10/2017,100,-16.7,-151.02,81.46,12.33
113,kholodnyy,RU,76,12/10/2017,33,62.72,147.95,-24.52,3.49
114,burriana,ES,40,12/10/2017,55,39.89,-0.09,62.6,17.22
115,namatanai,PG,88,12/10/2017,100,-3.67,152.43,80.38,7.63
116,hualmay,PE,0,12/10/2017,67,-11.1,-77.61,71.33,5.28
117,husavik,IS,90,12/10/2017,85,66.04,-17.34,23,7.96
118,ternate,ID,44,12/10/2017,100,0.8,127.4,79.93,4.05
119,buseresere,TZ,80,12/10/2017,98,-3.02,31.87,63.95,4.72
120,lavrentiya,RU,8,12/10/2017,100,65.58,-171,20.89,36.15
121,ippy,CF,12,12/10/2017,75,6.27,21.22,70.3,2.82
122,andros town,BS,75,12/10/2017,56,24.7,-77.77,71.6,12.75
123,kruisfontein,ZA,76,12/10/2017,84,-34,24.73,60.26,7.96
124,alta floresta,BR,48,12/10/2017,95,-9.88,-56.09,75.11,2.93
125,saskylakh,RU,20,12/10/2017,38,71.92,114.08,-24.57,3.15
126,merced,US,1,12/10/2017,39,37.3,-120.48,66.2,4.7
127,kipushi,CD,64,12/10/2017,94,-11.77,27.23,62.56,2.48
128,huangmei,CN,0,12/10/2017,100,30.19,116.03,32.45,4.72
129,dossor,KZ,0,12/10/2017,71,47.53,52.98,7.39,3.38
130,belaya gora,RU,36,12/10/2017,73,68.53,146.42,-16.11,2.82
131,katherine,AU,0,12/10/2017,78,-14.47,132.27,80.6,6.93
132,lichtenburg,ZA,32,12/10/2017,96,-26.15,26.16,56.03,2.71
133,goundam,ML,0,12/10/2017,45,16.41,-3.67,62.96,9.86
134,alto araguaia,BR,92,12/10/2017,82,-17.31,-53.22,76.69,8.41
135,ribeira grande,PT,75,12/10/2017,93,38.52,-28.7,64.4,19.46
136,joshimath,IN,0,12/10/2017,96,30.57,79.57,-0.22,1.03
137,petropavlovsk-kamchatskiy,RU,90,12/10/2017,95,53.05,158.65,33.8,15.66
138,chengde,CN,0,12/10/2017,40,40.97,117.94,0.55,6.06
139,nyurba,RU,48,12/10/2017,44,63.28,118.33,-27.54,4.94
140,kiama,AU,0,12/10/2017,72,-34.68,150.87,68,3.36
141,ambon,ID,40,12/10/2017,88,-3.7,128.18,77,5.82
142,kingaroy,AU,0,12/10/2017,82,-26.53,151.83,66.16,11.88
143,ormara,PK,0,12/10/2017,91,25.21,64.64,64.63,6.85
144,kununurra,AU,0,12/10/2017,88,-15.77,128.73,80.6,4.7
145,lemgo,DE,90,12/10/2017,93,52.03,8.9,42.8,17.22
146,fortuna,US,1,12/10/2017,36,40.6,-124.16,66.2,3.36
147,klaksvik,FO,80,12/10/2017,100,62.23,-6.59,39.2,34.45
148,margate,ZA,64,12/10/2017,89,-30.86,30.37,66.34,7.18
149,douglas,US,1,12/10/2017,14,31.34,-109.55,62.6,20.8
150,trinidad,CU,75,12/10/2017,63,21.8,-79.98,66.2,12.75
151,leningradskiy,RU,36,12/10/2017,100,69.38,178.42,10.36,18.03
152,amuntai,ID,48,12/10/2017,91,-2.42,115.25,76.01,2.15
153,gedinne,BE,75,12/10/2017,93,49.98,4.94,41,6.93
154,vega de alatorre,MX,0,12/10/2017,65,20.03,-96.63,64.9,10.76
155,mae sai,TH,75,12/10/2017,100,20.43,99.88,73.4,2.24
156,kontagora,NG,0,12/10/2017,38,10.4,5.47,73.81,9.53
157,atambua,ID,8,12/10/2017,100,-9.11,124.89,75.56,2.93
158,poopo,BO,0,12/10/2017,47,-18.37,-66.97,67.06,7.52
159,huilong,CN,0,12/10/2017,100,31.81,121.66,39.11,12.21
160,yar-sale,RU,20,12/10/2017,78,66.83,70.83,2.48,10.54
161,launceston,AU,12,12/10/2017,71,-41.45,147.17,57.2,3.36
162,yenagoa,NG,24,12/10/2017,89,4.92,6.26,75.79,6.06
163,puerto ayora,EC,20,12/10/2017,61,-0.74,-90.35,78.8,20.8
164,brae,GB,56,12/10/2017,92,60.4,-1.35,35.6,11.54
165,baixa grande,BR,68,12/10/2017,64,-11.96,-40.17,77.59,8.52
166,yellowknife,CA,75,12/10/2017,92,62.46,-114.35,5,3.36
167,pevek,RU,68,12/10/2017,100,69.7,170.31,7.48,5.17
168,jashpurnagar,IN,0,12/10/2017,95,22.9,84.15,60.4,2.93
169,svetlogorsk,RU,40,12/10/2017,86,54.94,20.15,30.2,8.95
170,oranjemund,NA,0,12/10/2017,95,-28.55,16.43,62.96,11.77
171,ha giang,VN,92,12/10/2017,100,22.83,104.98,55.27,1.92
172,mackenzie,CA,1,12/10/2017,86,55.3,-123.17,30.2,8.05
173,rapid valley,US,1,12/10/2017,9,44.06,-103.15,62.6,17.22
174,portland,AU,68,12/10/2017,100,-38.33,141.6,60.22,4.72
175,nautla,MX,0,12/10/2017,100,20.22,-96.78,70.16,17.92
176,tocopilla,CL,0,12/10/2017,76,-22.09,-70.2,65.35,4.5
177,maldonado,UY,0,12/10/2017,43,-34.9,-54.95,73.4,8.05
178,port lincoln,AU,0,12/10/2017,91,-34.73,135.87,64.99,11.54
179,spearfish,US,1,12/10/2017,17,44.49,-103.86,53.6,17.22
180,riberalta,BO,90,12/10/2017,100,-10.98,-66.1,69.8,6.93
181,port macquarie,AU,24,12/10/2017,64,-31.43,152.92,73.4,4.7
182,mercedes,UY,0,12/10/2017,28,-33.25,-58.03,88.61,13
183,beysehir,TR,36,12/10/2017,100,37.68,31.72,40.91,9.19
184,kondratovo,RU,0,12/10/2017,76,57.98,56.11,-9.41,6.71
185,calatayud,ES,75,12/10/2017,51,41.35,-1.64,62.6,3.36
186,pahrump,US,1,12/10/2017,6,36.21,-115.98,66.2,12.75
187,vallenar,CL,0,12/10/2017,68,-28.57,-70.76,72.64,2.93
188,vanimo,PG,68,12/10/2017,100,-2.67,141.3,80.83,4.27
189,mwandiga,TZ,75,12/10/2017,100,-4.83,29.66,69.8,2.48
190,hami,CN,0,12/10/2017,69,42.8,93.45,12.52,9.08
191,cidreira,BR,88,12/10/2017,62,-30.18,-50.21,77,17.25
192,saint-pierre,PM,75,12/10/2017,93,46.77,-56.17,42.8,29.97
193,sosenskiy,RU,92,12/10/2017,93,54.06,35.96,39.7,15.01
194,warrington,US,20,12/10/2017,46,30.38,-87.28,55.4,5.82
195,sao joao da barra,BR,20,12/10/2017,83,-21.64,-41.05,75.2,4.7
196,moerai,PF,68,12/10/2017,95,-22.43,-151.33,79.48,12.77
197,vestmannaeyjar,IS,0,12/10/2017,100,63.44,-20.27,23.14,12.1
198,hithadhoo,MV,64,12/10/2017,100,-0.6,73.08,80.38,4.72
199,meulaboh,ID,80,12/10/2017,100,4.14,96.13,74.93,2.59
200,hokitika,NZ,56,12/10/2017,97,-42.72,170.97,61.75,9.19
201,roma,AU,0,12/10/2017,67,-26.58,148.78,69.85,9.08
202,linjiang,CN,48,12/10/2017,64,41.81,126.91,-5.62,7.18
203,myitkyina,MM,92,12/10/2017,100,25.38,97.4,65.17,1.7
204,mar del plata,AR,40,12/10/2017,67,-38,-57.56,60.8,23.04
205,hamilton,US,1,12/10/2017,51,39.4,-84.56,35.6,5.82
206,cran-gevrier,FR,90,12/10/2017,100,45.9,6.1,44.6,2.24
207,sawtell,AU,36,12/10/2017,68,-30.38,153.1,71.6,9.17
208,tuensang,IN,32,12/10/2017,98,26.28,94.83,55.63,1.92
209,ixtapa,MX,40,12/10/2017,33,20.7,-105.2,86,3.36
210,naberera,TZ,0,12/10/2017,60,-4.2,36.93,68.18,9.64
211,uyskoye,RU,68,12/10/2017,81,54.38,60,9.64,5.95
212,nanchang,CN,0,12/10/2017,85,28.68,115.88,33.26,6.96
213,agucadoura,PT,75,12/10/2017,87,41.43,-8.78,55.4,9.17
214,pampa,US,1,12/10/2017,8,35.54,-100.96,68,4.7
215,shitanjing,CN,88,12/10/2017,62,39.23,106.34,3.43,0.81
216,necochea,AR,0,12/10/2017,67,-38.55,-58.74,62.96,21.27
217,troitskoye,RU,32,12/10/2017,81,52.98,84.68,18.01,7.96
218,neuquen,AR,0,12/10/2017,40,-38.95,-68.06,86,5.82
219,urambo,TZ,92,12/10/2017,99,-5.07,32.05,65.89,2.37
220,nueve de julio,AR,0,12/10/2017,31,-35.44,-60.88,83.89,19.48
221,liwale,TZ,100,12/10/2017,98,-9.77,37.93,70.88,5.28
222,gumdag,TM,0,12/10/2017,92,39.21,54.59,35.83,13.22
223,namanyere,TZ,88,12/10/2017,96,-7.52,31.05,61.39,0.58
224,davila,PH,75,12/10/2017,88,18.47,120.58,73.4,2.24
225,thinadhoo,MV,32,12/10/2017,100,0.53,72.93,80.2,3.94
226,buffalo,US,90,12/10/2017,74,42.89,-78.88,30.2,18.34
227,aswan,EG,0,12/10/2017,48,24.09,32.91,64.4,6.93
228,yilan,CN,44,12/10/2017,49,46.32,129.57,-16.83,3.49
229,rikitea,PF,88,12/10/2017,100,-23.12,-134.97,75.97,13.11
230,palana,RU,76,12/10/2017,81,59.12,159.97,30.88,20.27
231,aguai,BR,0,12/10/2017,51,-22.06,-46.98,80.6,5.82
232,meadow lake,CA,90,12/10/2017,80,54.13,-108.43,41,19.46
233,ponta do sol,PT,40,12/10/2017,77,32.67,-17.1,62.6,3.36
234,cobija,BO,75,12/10/2017,66,-11.03,-68.77,89.6,13.87
235,chipinge,ZW,0,12/10/2017,78,-20.19,32.62,70.61,3.83
236,horta,PT,75,12/10/2017,93,38.53,-28.63,64.4,19.46
237,tura,RU,76,12/10/2017,71,64.28,100.25,-16.47,2.59
238,tautira,PF,75,12/10/2017,66,-17.73,-149.15,86,17.22
239,haines junction,CA,0,12/10/2017,81,60.75,-137.51,27.05,4.16
240,tasiilaq,GL,32,12/10/2017,79,65.61,-37.64,21.2,3.36
241,sabha,LY,48,12/10/2017,51,27.04,14.43,47.35,6.62
242,upernavik,GL,92,12/10/2017,95,72.79,-56.15,29.26,2.93
243,wolgast,DE,88,12/10/2017,100,54.05,13.77,31.6,20.83
244,turayf,SA,0,12/10/2017,45,31.67,38.66,42.8,2.71
245,basoko,CD,0,12/10/2017,91,1.24,23.62,73.9,2.82
246,puerto maldonado,PE,75,12/10/2017,94,-12.6,-69.18,73.4,11.41
247,gallup,US,1,12/10/2017,7,35.53,-108.74,57.2,3.36
248,auki,SB,44,12/10/2017,100,-8.77,160.7,80.47,3.94
249,fuerte olimpo,PY,48,12/10/2017,69,-21.04,-57.87,89.78,2.59
250,east london,ZA,92,12/10/2017,100,-33.02,27.91,64.9,4.72
251,rancharia,BR,0,12/10/2017,27,-22.23,-50.89,89.6,6.93
252,georgetown,SH,20,12/10/2017,73,-7.93,-14.42,73.4,14.99
253,georgetown,US,1,12/10/2017,24,30.63,-97.68,69.8,8.05
254,severo-kurilsk,RU,88,12/10/2017,100,50.68,156.12,32.9,25.64
255,jamestown,SH,20,12/10/2017,99,-15.94,-5.72,70.12,13.56
256,bilibino,RU,76,12/10/2017,71,68.05,166.44,-10.84,2.37
257,gorontalo,ID,80,12/10/2017,97,0.54,123.06,74.08,1.36
258,verkhnevilyuysk,RU,56,12/10/2017,50,63.45,120.32,-29.97,4.94
259,marathon,US,1,12/10/2017,51,24.71,-81.09,62.6,9.17
260,onguday,RU,64,12/10/2017,79,50.75,86.15,7.3,1.7
261,mareeba,AU,40,12/10/2017,69,-17,145.43,80.6,11.41
262,rio grande,BR,0,12/10/2017,64,-32.03,-52.1,74.62,21.16
263,tual,ID,24,12/10/2017,100,-5.67,132.75,84.25,4.94
264,nuevo laredo,MX,1,12/10/2017,49,27.48,-99.52,69.8,5.82
265,mahebourg,MU,40,12/10/2017,78,-20.41,57.7,77,5.82
266,bambous virieux,MU,40,12/10/2017,78,-20.34,57.76,77,5.82
267,kirakira,SB,76,12/10/2017,100,-10.45,161.92,82.31,5.06
268,mahanoro,MG,20,12/10/2017,93,-19.9,48.8,74.26,2.37
269,bosobolo,CD,8,12/10/2017,79,4.18,19.9,71.47,3.15
270,magadan,RU,68,12/10/2017,60,59.57,150.8,10.4,15.66
271,victoria,SC,40,12/10/2017,78,-4.62,55.45,80.6,2.24
272,korla,CN,0,12/10/2017,67,41.76,86.15,5.23,1.59
273,mishkino,RU,64,12/10/2017,88,55.34,63.92,14.86,8.3
274,half moon bay,US,20,12/10/2017,51,37.46,-122.43,69.8,3.94
275,vernon,US,1,12/10/2017,1,34.15,-99.27,75.2,5.82
276,bariri,BR,0,12/10/2017,52,-22.07,-48.74,87.8,6.93
277,port-cartier,CA,40,12/10/2017,78,50.03,-66.87,12.2,5.82
278,cherskiy,RU,64,12/10/2017,89,68.75,161.3,-6.25,4.61
279,coahuayana,MX,90,12/10/2017,34,18.73,-103.68,82.4,9.17
280,benjamin constant,BR,40,12/10/2017,70,-4.38,-70.03,84.2,3.36
281,port hardy,CA,75,12/10/2017,53,50.7,-127.42,51.8,8.05
282,bumba,CD,44,12/10/2017,84,2.18,22.47,76.01,2.59
283,longyearbyen,SJ,75,12/10/2017,68,78.22,15.64,28.4,11.41
284,rio grande,PE,0,12/10/2017,33,-14.52,-75.2,69.71,3.15
285,bend,US,1,12/10/2017,59,44.06,-121.32,35.6,6.93
286,hearst,CA,36,12/10/2017,51,49.68,-83.67,-4,5.17
287,port hawkesbury,CA,90,12/10/2017,100,45.62,-61.35,35.6,14.99
288,jiangyou,CN,56,12/10/2017,67,31.77,104.72,36.23,3.27
289,mnogovershinnyy,RU,76,12/10/2017,69,53.94,139.92,4.6,11.32
290,piet retief,ZA,92,12/10/2017,100,-27.01,30.81,54.68,3.6
291,ust-ilimsk,RU,0,12/10/2017,66,58,102.66,-22.72,2.93
292,millville,US,1,12/10/2017,64,39.4,-75.04,37.4,10.29
293,mehamn,NO,0,12/10/2017,74,71.04,27.85,33.8,9.17
294,cananea,MX,56,12/10/2017,23,30.95,-110.3,59.23,11.65
295,port alfred,ZA,88,12/10/2017,89,-33.59,26.89,63.64,6.73
296,camana,PE,0,12/10/2017,100,-16.62,-72.71,65.44,4.83
297,port elizabeth,ZA,90,12/10/2017,72,-33.92,25.57,60.8,2.24
298,terrace,CA,90,12/10/2017,93,54.52,-128.6,35.6,6.93
299,sioux lookout,CA,20,12/10/2017,76,50.1,-91.92,3.2,3.36
300,upington,ZA,0,12/10/2017,16,-28.45,21.26,73.4,5.82
301,the pas,CA,90,12/10/2017,78,53.83,-101.25,17.6,6.93
302,cap malheureux,MU,40,12/10/2017,78,-19.98,57.61,77,5.82
303,itaqui,BR,0,12/10/2017,26,-29.13,-56.55,91,18.92
304,smithers,CA,75,12/10/2017,80,54.78,-127.17,30.2,6.93
305,ilhabela,BR,0,12/10/2017,100,-23.78,-45.36,73.81,4.72
306,mount gambier,AU,32,12/10/2017,95,-37.83,140.77,56.35,3.04
307,arman,RU,68,12/10/2017,60,59.7,150.17,10.4,15.66
308,alofi,NU,32,12/10/2017,74,-19.06,-169.92,80.6,8.05
309,casablanca,MA,75,12/10/2017,100,33.59,-7.62,53.6,8.05
310,castle douglas,GB,0,12/10/2017,66,54.94,-3.93,4.69,2.71
311,esperance,AU,80,12/10/2017,27,-33.87,121.9,80.11,16.24
312,westport,NZ,36,12/10/2017,90,-41.75,171.6,60.4,3.15
313,flinders,AU,0,12/10/2017,72,-34.58,150.86,68,3.36
314,teya,RU,20,12/10/2017,62,60.38,92.63,0.23,3.04
315,presidencia roque saenz pena,AR,8,12/10/2017,32,-26.79,-60.44,96.94,11.99
316,puerto madryn,AR,0,12/10/2017,65,-42.77,-65.04,65.66,8.75
317,katsuura,JP,75,12/10/2017,67,35.13,140.3,57.2,13.87
318,sorland,NO,20,12/10/2017,52,67.67,12.69,41,10.29
319,okhotsk,RU,68,12/10/2017,100,59.38,143.3,-1.44,8.63
320,nouadhibou,MR,8,12/10/2017,55,20.93,-17.03,66.2,9.17
321,guadalupe y calvo,MX,92,12/10/2017,25,26.1,-106.97,49.69,2.59
322,tigil,RU,68,12/10/2017,83,57.8,158.67,30.2,16.69
323,iskateley,RU,80,12/10/2017,86,67.68,53.15,5.23,12.88
324,albany,AU,76,12/10/2017,85,-35.02,117.89,66.97,5.17
325,rawson,AR,0,12/10/2017,76,-43.3,-65.1,61.21,9.31
326,yerofey pavlovich,RU,36,12/10/2017,72,53.97,121.97,-17.5,5.39
327,canto do buriti,BR,88,12/10/2017,92,-8.11,-42.94,72.42,1.7
328,kortkeros,RU,75,12/10/2017,85,61.81,51.58,15.8,6.71
329,camopi,GF,20,12/10/2017,87,3.17,-52.32,76.69,3.15
330,seoul,KR,20,12/10/2017,73,37.57,126.98,24.8,10.29
331,mosquera,CO,40,12/10/2017,63,4.71,-74.23,64.4,12.75
332,geraldton,AU,0,12/10/2017,77,-28.77,114.6,69.8,10.29
333,alice springs,AU,0,12/10/2017,21,-23.7,133.88,69.8,4.7
334,cayenne,GF,90,12/10/2017,88,4.93,-52.33,80.6,5.61
335,leshukonskoye,RU,88,12/10/2017,84,64.9,45.76,20.04,7.4
336,kungurtug,RU,44,12/10/2017,52,50.6,97.52,-14.44,2.15
337,tiksi,RU,0,12/10/2017,54,71.69,128.87,-31.27,2.59
338,diosjeno,HU,75,12/10/2017,64,47.94,19.04,37.4,14.99
339,tilichiki,RU,36,12/10/2017,69,60.47,166.1,-1.39,3.6
340,huarmey,PE,0,12/10/2017,76,-10.07,-78.15,66.3,3.27
341,vanavara,RU,48,12/10/2017,67,60.34,102.28,-23.03,2.71
342,abu dhabi,AE,20,12/10/2017,56,24.47,54.37,69.8,5.82
343,ca mau,VN,8,12/10/2017,100,9.18,105.15,73.95,4.94
344,guerrero negro,MX,92,12/10/2017,39,27.98,-114.06,70.17,2.71
345,harqalah,TN,0,12/10/2017,87,36.03,10.51,53.6,12.75
346,galle,LK,36,12/10/2017,100,6.04,80.22,74.94,2.15
347,mantua,CU,0,12/10/2017,70,22.29,-84.28,67.38,8.41
348,adrar,DZ,0,12/10/2017,35,27.87,-0.29,55.4,5.82
349,naze,JP,75,12/10/2017,51,28.37,129.48,62.6,8.05
350,shepetivka,UA,36,12/10/2017,84,50.19,27.06,22.74,11.54
351,ayr,AU,0,12/10/2017,76,-19.58,147.4,84.16,14
352,west bay,KY,75,12/10/2017,73,19.37,-81.42,73.4,17.22
353,nemuro,JP,92,12/10/2017,97,43.32,145.57,42.81,33.69
354,salalah,OM,0,12/10/2017,40,17.02,54.09,69.8,9.17
355,hambantota,LK,76,12/10/2017,100,6.12,81.12,77.64,2.15
356,avarua,CK,90,12/10/2017,88,-21.21,-159.78,78.8,4.7
357,mutoko,ZW,24,12/10/2017,77,-17.4,32.23,68.1,7.4
358,sur,OM,0,12/10/2017,100,22.57,59.53,69.18,17.81
359,yalvac,TR,0,12/10/2017,92,38.3,31.18,41.14,7.4
360,mehriz,IR,0,12/10/2017,24,31.59,54.43,33.8,2.24
361,ancud,CL,8,12/10/2017,80,-41.87,-73.82,64.5,5.5
362,sinnamary,GF,68,12/10/2017,100,5.38,-52.95,79.35,7.74
363,pemba,MZ,75,12/10/2017,88,-12.97,40.52,78.8,4.7
364,bonavista,CA,92,12/10/2017,79,48.65,-53.11,47.71,29.66
365,soto la marina,MX,56,12/10/2017,38,23.77,-98.22,60.76,5.5
366,anadyr,RU,0,12/10/2017,76,64.75,177.48,-7.61,11.18
